DBN,Category,Total Enrollment
15K442,English Language Learners,15.0
15K418,All Students,292.0
15K418,Attend school outside district of residence,44.0
15K418,English Language Learners,
15K418,Poverty,39.0
15K418,Reside in temporary housing,
15K418,Students with Disabilities,23.0
15K429,All Students,54.0
15K429,Attend school outside district of residence,13.0
15K429,English Language Learners,
15K429,Poverty,48.0
15K429,Reside in temporary housing,7.0
16K243,English Language Learners,6.0
15K429,Students with Disabilities,26.0
15K442,All Students,217.0
15K442,Attend school outside district of residence,68.0
15K442,Poverty,217.0
15K442,Reside in temporary housing,12.0
15K442,Students with Disabilities,74.0
15K443,All Students,541.0
15K443,Attend school outside district of residence,157.0
15K443,English Language Learners,6.0
15K443,Poverty,541.0
15K443,Reside in temporary housing,8.0
15K443,Students with Disabilities,119.0
15K447,All Students,525.0
15K447,Attend school outside district of residence,180.0
15K447,English Language Learners,
15K447,Poverty,525.0
15K447,Reside in temporary housing,
15K447,Students with Disabilities,92.0
15K448,All Students,264.0
15K448,Attend school outside district of residence,93.0
15K448,English Language Learners,30.0
15K448,Poverty,187.0
15K448,Reside in temporary housing,13.0
15K448,Students with Disabilities,111.0
15K464,All Students,167.0
15K464,Attend school outside district of residence,56.0
15K464,English Language Learners,17.0
15K464,Poverty,95.0
15K464,Reside in temporary housing,
15K464,Students with Disabilities,51.0
15K676,English Language Learners,19.0
15K497,All Students,175.0
15K497,Attend school outside district of residence,54.0
15K497,English Language Learners,28.0
15K497,Poverty,108.0
15K497,Reside in temporary housing,16.0
15K497,Students with Disabilities,58.0
15K516,All Students,227.0
15K516,Attend school outside district of residence,
15K516,English Language Learners,146.0
15K516,Poverty,212.0
15K516,Reside in temporary housing,20.0
15K516,Students with Disabilities,33.0
15K676,All Students,185.0
15K676,Attend school outside district of residence,12.0
15K676,Poverty,173.0
15K676,Reside in temporary housing,44.0
15K676,Students with Disabilities,34.0
15K821,All Students,515.0
15K821,Attend school outside district of residence,66.0
15K821,English Language Learners,75.0
15K821,Poverty,515.0
15K821,Reside in temporary housing,15.0
15K821,Students with Disabilities,109.0
15K839,All Students,106.0
15K839,Attend school outside district of residence,21.0
15K839,English Language Learners,8.0
15K839,Poverty,106.0
15K839,Reside in temporary housing,10.0
15K839,Students with Disabilities,25.0
16K005,All Students,212.0
16K005,Attend school outside district of residence,82.0
16K005,Poverty,184.0
16K005,Reside in temporary housing,81.0
16K005,Students with Disabilities,69.0
16K021,All Students,569.0
16K021,Attend school outside district of residence,177.0
16K021,English Language Learners,7.0
16K021,Poverty,569.0
16K021,Reside in temporary housing,52.0
16K021,Students with Disabilities,106.0
16K025,All Students,131.0
16K025,Attend school outside district of residence,30.0
16K025,English Language Learners,9.0
16K025,Poverty,127.0
16K025,Students with Disabilities,43.0
16K026,All Students,192.0
16K026,Attend school outside district of residence,43.0
16K026,English Language Learners,13.0
16K026,Poverty,192.0
16K026,Reside in temporary housing,42.0
16K026,Students with Disabilities,54.0
16K028,All Students,183.0
16K028,Attend school outside district of residence,49.0
16K028,English Language Learners,19.0
16K028,Poverty,171.0
16K028,Reside in temporary housing,27.0
16K028,Students with Disabilities,33.0
16K035,All Students,168.0
16K035,Attend school outside district of residence,54.0
16K035,English Language Learners,
16K035,Poverty,168.0
16K035,Reside in temporary housing,26.0
16K035,Students with Disabilities,49.0
16K040,All Students,270.0
16K040,Attend school outside district of residence,72.0
16K040,English Language Learners,18.0
16K040,Poverty,270.0
16K040,Reside in temporary housing,35.0
16K040,Students with Disabilities,70.0
16K057,All Students,169.0
16K057,Attend school outside district of residence,58.0
16K057,English Language Learners,
16K057,Poverty,169.0
16K057,Reside in temporary housing,47.0
16K057,Students with Disabilities,51.0
16K081,All Students,285.0
16K081,Attend school outside district of residence,49.0
16K081,English Language Learners,24.0
16K081,Poverty,265.0
16K081,Reside in temporary housing,74.0
16K081,Students with Disabilities,81.0
16K243,All Students,247.0
16K243,Attend school outside district of residence,62.0
16K243,Poverty,235.0
16K243,Reside in temporary housing,35.0
16K243,Students with Disabilities,62.0
16K262,All Students,418.0
16K262,Attend school outside district of residence,116.0
16K262,English Language Learners,17.0
16K262,Poverty,391.0
16K262,Reside in temporary housing,72.0
16K262,Students with Disabilities,91.0
16K267,All Students,182.0
16K267,Attend school outside district of residence,60.0
16K267,English Language Learners,19.0
16K267,Poverty,182.0
16K267,Reside in temporary housing,32.0
16K267,Students with Disabilities,59.0
16K308,All Students,345.0
16K308,Attend school outside district of residence,90.0
16K308,English Language Learners,17.0
16K308,Poverty,288.0
16K308,Reside in temporary housing,68.0
16K308,Students with Disabilities,100.0
16K309,All Students,207.0
16K309,Attend school outside district of residence,40.0
16K309,English Language Learners,18.0
16K309,Poverty,166.0
16K309,Reside in temporary housing,54.0
16K309,Students with Disabilities,62.0
16K335,All Students,280.0
16K335,Attend school outside district of residence,77.0
16K335,English Language Learners,13.0
16K335,Poverty,241.0
16K335,Reside in temporary housing,39.0
17K397,Students with Disabilities,40.0
16K335,Students with Disabilities,56.0
16K385,All Students,60.0
16K385,Attend school outside district of residence,21.0
16K385,English Language Learners,
16K385,Poverty,60.0
16K385,Reside in temporary housing,11.0
16K534,All Students,87.0
16K534,Attend school outside district of residence,25.0
16K534,English Language Learners,8.0
16K534,Poverty,87.0
16K534,Reside in temporary housing,25.0
16K534,Students with Disabilities,28.0
16K584,All Students,92.0
16K584,Attend school outside district of residence,39.0
16K584,English Language Learners,9.0
16K584,Poverty,92.0
16K584,Reside in temporary housing,19.0
16K584,Students with Disabilities,30.0
16K627,All Students,148.0
16K627,Attend school outside district of residence,50.0
16K627,Poverty,133.0
16K627,Reside in temporary housing,36.0
16K627,Students with Disabilities,24.0
16K628,All Students,188.0
16K628,Attend school outside district of residence,87.0
16K628,Poverty,125.0
16K628,Reside in temporary housing,18.0
16K628,Students with Disabilities,25.0
16K636,All Students,159.0
16K636,Attend school outside district of residence,43.0
16K636,English Language Learners,7.0
16K636,Poverty,149.0
16K636,Reside in temporary housing,43.0
16K636,Students with Disabilities,30.0
16K681,All Students,173.0
16K681,Attend school outside district of residence,55.0
16K681,English Language Learners,12.0
16K681,Poverty,173.0
16K681,Reside in temporary housing,36.0
16K681,Students with Disabilities,50.0
17K002,All Students,475.0
17K002,Attend school outside district of residence,95.0
17K002,English Language Learners,35.0
17K002,Poverty,475.0
17K002,Reside in temporary housing,69.0
17K002,Students with Disabilities,92.0
17K006,All Students,712.0
17K006,Attend school outside district of residence,164.0
17K006,English Language Learners,106.0
17K006,Poverty,712.0
17K006,Reside in temporary housing,181.0
17K006,Students with Disabilities,152.0
17K012,All Students,213.0
17K012,Attend school outside district of residence,94.0
17K012,English Language Learners,14.0
17K012,Poverty,200.0
17K012,Reside in temporary housing,47.0
17K012,Students with Disabilities,57.0
17K061,All Students,814.0
17K061,Attend school outside district of residence,216.0
17K061,English Language Learners,52.0
17K061,Poverty,814.0
17K061,Reside in temporary housing,83.0
17K061,Students with Disabilities,147.0
17K091,All Students,314.0
17K091,Attend school outside district of residence,40.0
17K091,English Language Learners,22.0
17K091,Poverty,286.0
17K091,Reside in temporary housing,50.0
17K091,Students with Disabilities,79.0
17K092,All Students,425.0
17K092,Attend school outside district of residence,25.0
17K092,English Language Learners,71.0
17K092,Poverty,383.0
17K092,Reside in temporary housing,91.0
17K092,Students with Disabilities,77.0
17K138,All Students,650.0
17K138,Attend school outside district of residence,196.0
17K138,English Language Learners,44.0
17K138,Poverty,539.0
17K138,Reside in temporary housing,127.0
17K138,Students with Disabilities,99.0
17K161,All Students,382.0
17K161,Attend school outside district of residence,63.0
17K161,English Language Learners,16.0
17K161,Poverty,351.0
17K161,Reside in temporary housing,67.0
17K161,Students with Disabilities,63.0
17K167,All Students,55.0
17K167,Attend school outside district of residence,15.0
17K167,English Language Learners,
17K167,Poverty,51.0
17K167,Reside in temporary housing,15.0
17K167,Students with Disabilities,14.0
17K181,All Students,811.0
17K181,Attend school outside district of residence,128.0
17K181,English Language Learners,79.0
17K181,Poverty,811.0
17K181,Reside in temporary housing,59.0
17K181,Students with Disabilities,146.0
17K189,All Students,1044.0
17K221,Students with Disabilities,72.0
17K189,Attend school outside district of residence,313.0
17K189,English Language Learners,170.0
17K189,Poverty,958.0
17K189,Reside in temporary housing,112.0
17K189,Students with Disabilities,129.0
17K191,All Students,169.0
17K191,Poverty,149.0
17K191,Reside in temporary housing,59.0
17K191,Students with Disabilities,33.0
17K221,All Students,361.0
17K221,Attend school outside district of residence,64.0
17K221,English Language Learners,24.0
17K221,Poverty,291.0
17K221,Reside in temporary housing,41.0
17K241,All Students,501.0
17K241,Attend school outside district of residence,71.0
17K241,English Language Learners,43.0
17K533,Students with Disabilities,20.0
17K241,Poverty,438.0
17K241,Reside in temporary housing,95.0
17K241,Students with Disabilities,46.0
17K246,All Students,476.0
17K246,Attend school outside district of residence,232.0
17K246,English Language Learners,98.0
17K246,Poverty,476.0
17K246,Reside in temporary housing,108.0
17K246,Students with Disabilities,120.0
17K705,English Language Learners,26.0
17K249,All Students,859.0
17K249,Attend school outside district of residence,122.0
17K705,Attend school outside district of residence,48.0
17K249,English Language Learners,215.0
17K249,Poverty,859.0
17K249,Reside in temporary housing,102.0
17K249,Students with Disabilities,139.0
17K289,All Students,365.0
17K289,Attend school outside district of residence,69.0
17K289,English Language Learners,29.0
17K289,Poverty,365.0
17K289,Reside in temporary housing,68.0
17K289,Students with Disabilities,99.0
17K316,All Students,378.0
17K316,Attend school outside district of residence,99.0
17K316,Poverty,288.0
17K316,Reside in temporary housing,25.0
17K316,Students with Disabilities,70.0
17K334,All Students,82.0
17K334,Attend school outside district of residence,28.0
17K334,English Language Learners,7.0
17K334,Poverty,82.0
17K334,Reside in temporary housing,17.0
17K334,Students with Disabilities,29.0
17K340,All Students,203.0
17K340,Attend school outside district of residence,71.0
17K340,English Language Learners,
17K340,Poverty,203.0
17K340,Reside in temporary housing,23.0
17K340,Students with Disabilities,30.0
17K352,All Students,188.0
17K352,Attend school outside district of residence,22.0
17K352,English Language Learners,36.0
17K352,Poverty,188.0
17K352,Reside in temporary housing,23.0
17K352,Students with Disabilities,46.0
17K353,All Students,196.0
17K353,Attend school outside district of residence,40.0
17K353,English Language Learners,8.0
17K353,Poverty,196.0
17K353,Reside in temporary housing,18.0
17K353,Students with Disabilities,51.0
17K397,Reside in temporary housing,44.0
17K354,All Students,202.0
17K354,Attend school outside district of residence,49.0
17K354,English Language Learners,22.0
17K354,Poverty,202.0
17K354,Reside in temporary housing,47.0
17K354,Students with Disabilities,60.0
17K375,All Students,419.0
17K375,Attend school outside district of residence,25.0
17K375,English Language Learners,115.0
17K375,Poverty,378.0
17K375,Reside in temporary housing,58.0
17K375,Students with Disabilities,107.0
17K382,All Students,135.0
17K382,Attend school outside district of residence,58.0
17K382,English Language Learners,10.0
17K382,Poverty,114.0
17K382,Reside in temporary housing,16.0
17K382,Students with Disabilities,21.0
17K394,All Students,524.0
17K394,Attend school outside district of residence,185.0
17K394,English Language Learners,25.0
17K394,Poverty,486.0
17K394,Reside in temporary housing,99.0
17K394,Students with Disabilities,74.0
17K397,All Students,240.0
17K397,Attend school outside district of residence,31.0
17K397,English Language Learners,29.0
17K397,Poverty,190.0
17K398,All Students,337.0
17K398,Attend school outside district of residence,77.0
17K398,English Language Learners,22.0
17K398,Poverty,303.0
17K398,Reside in temporary housing,112.0
17K398,Students with Disabilities,92.0
17K399,All Students,481.0
17K399,Attend school outside district of residence,80.0
17K399,English Language Learners,41.0
17K399,Poverty,441.0
17K399,Reside in temporary housing,77.0
17K399,Students with Disabilities,34.0
17K484,All Students,141.0
17K484,Attend school outside district of residence,49.0
17K484,Poverty,141.0
17K484,Reside in temporary housing,32.0
17K484,Students with Disabilities,33.0
17K531,All Students,104.0
17K531,Attend school outside district of residence,30.0
17K531,Poverty,89.0
17K531,Reside in temporary housing,8.0
17K531,Students with Disabilities,17.0
17K532,All Students,341.0
17K532,Attend school outside district of residence,54.0
17K532,English Language Learners,27.0
17K532,Poverty,304.0
17K532,Reside in temporary housing,87.0
17K532,Students with Disabilities,72.0
17K533,All Students,47.0
17K533,Attend school outside district of residence,21.0
17K533,English Language Learners,
17K533,Poverty,41.0
17K770,Reside in temporary housing,14.0
17K543,All Students,194.0
17K543,Attend school outside district of residence,119.0
17K543,English Language Learners,
17K543,Poverty,142.0
17K543,Reside in temporary housing,13.0
17K543,Students with Disabilities,17.0
17K590,All Students,301.0
17K590,Attend school outside district of residence,201.0
17K590,Poverty,182.0
17K590,Reside in temporary housing,9.0
17K590,Students with Disabilities,
17K705,All Students,289.0
17K705,Poverty,216.0
17K705,Reside in temporary housing,27.0
17K705,Students with Disabilities,85.0
17K722,All Students,261.0
17K722,Attend school outside district of residence,51.0
17K722,English Language Learners,14.0
17K722,Poverty,261.0
17K722,Reside in temporary housing,50.0
17K722,Students with Disabilities,77.0
17K770,All Students,268.0
17K770,Attend school outside district of residence,82.0
17K770,English Language Learners,
18K233,Reside in temporary housing,37.0
17K770,Poverty,166.0
17K770,Students with Disabilities,43.0
18K066,All Students,801.0
18K066,Attend school outside district of residence,157.0
18K066,English Language Learners,16.0
18K066,Poverty,562.0
18K066,Reside in temporary housing,29.0
18K066,Students with Disabilities,87.0
18K068,All Students,464.0
18K068,Attend school outside district of residence,60.0
18K068,English Language Learners,71.0
18K068,Poverty,464.0
18K068,Reside in temporary housing,50.0
18K068,Students with Disabilities,132.0
25Q163,Reside in temporary housing,7.0
18K114,All Students,551.0
18K114,Attend school outside district of residence,54.0
18K114,English Language Learners,71.0
18K114,Poverty,551.0
18K114,Reside in temporary housing,84.0
18K114,Students with Disabilities,111.0
18K115,All Students,996.0
18K115,Attend school outside district of residence,69.0
18K115,English Language Learners,37.0
18K115,Poverty,996.0
18K115,Reside in temporary housing,70.0
18K115,Students with Disabilities,168.0
18K135,All Students,633.0
18K135,Attend school outside district of residence,165.0
18K135,English Language Learners,27.0
18K135,Poverty,561.0
18K135,Reside in temporary housing,62.0
18K135,Students with Disabilities,64.0
18K208,All Students,416.0
18K208,Attend school outside district of residence,66.0
18K208,English Language Learners,8.0
18K208,Poverty,348.0
18K208,Reside in temporary housing,21.0
18K208,Students with Disabilities,87.0
18K272,Attend school outside district of residence,27.0
18K211,All Students,590.0
18K211,Attend school outside district of residence,64.0
18K211,Poverty,590.0
18K211,Reside in temporary housing,61.0
18K211,Students with Disabilities,143.0
18K219,All Students,486.0
18K219,Attend school outside district of residence,62.0
18K219,English Language Learners,36.0
18K219,Poverty,486.0
18K219,Reside in temporary housing,59.0
18K219,Students with Disabilities,114.0
18K272,English Language Learners,13.0
18K233,All Students,462.0
18K233,Attend school outside district of residence,94.0
18K233,English Language Learners,13.0
18K233,Poverty,396.0
18K233,Students with Disabilities,82.0
18K235,All Students,1240.0
18K235,Attend school outside district of residence,494.0
18K235,English Language Learners,16.0
18K235,Poverty,902.0
18K235,Reside in temporary housing,41.0
18K235,Students with Disabilities,94.0
18K272,Poverty,400.0
18K244,All Students,575.0
18K244,Attend school outside district of residence,91.0
18K244,English Language Learners,12.0
18K244,Poverty,460.0
18K244,Reside in temporary housing,74.0
18K244,Students with Disabilities,130.0
18K268,All Students,393.0
18K268,Attend school outside district of residence,65.0
18K268,English Language Learners,22.0
18K268,Poverty,351.0
18K268,Reside in temporary housing,26.0
18K268,Students with Disabilities,54.0
18K272,All Students,447.0
18K272,Reside in temporary housing,92.0
18K272,Students with Disabilities,105.0
18K276,All Students,611.0
18K276,Attend school outside district of residence,51.0
18K276,English Language Learners,53.0
18K276,Poverty,488.0
18K276,Reside in temporary housing,35.0
18K276,Students with Disabilities,108.0
18K279,All Students,428.0
18K279,Attend school outside district of residence,39.0
18K279,English Language Learners,9.0
18K279,Poverty,361.0
18K279,Reside in temporary housing,32.0
18K279,Students with Disabilities,51.0
18K285,All Students,704.0
18K285,Attend school outside district of residence,165.0
18K285,English Language Learners,10.0
18K285,Poverty,704.0
18K285,Reside in temporary housing,72.0
18K285,Students with Disabilities,126.0
18K366,All Students,498.0
18K366,Attend school outside district of residence,82.0
18K366,English Language Learners,8.0
18K366,Poverty,498.0
18K366,Reside in temporary housing,23.0
19K065,English Language Learners,176.0
18K366,Students with Disabilities,89.0
18K581,All Students,129.0
18K581,Attend school outside district of residence,24.0
18K581,English Language Learners,14.0
18K581,Poverty,129.0
18K581,Reside in temporary housing,8.0
18K581,Students with Disabilities,34.0
18K588,All Students,218.0
18K588,Attend school outside district of residence,44.0
18K588,English Language Learners,14.0
18K588,Poverty,218.0
18K588,Reside in temporary housing,35.0
18K588,Students with Disabilities,52.0
18K598,All Students,180.0
18K598,Attend school outside district of residence,37.0
18K598,English Language Learners,9.0
18K598,Poverty,180.0
18K598,Reside in temporary housing,25.0
18K598,Students with Disabilities,27.0
18K763,All Students,149.0
18K763,Attend school outside district of residence,33.0
18K763,English Language Learners,
18K763,Poverty,149.0
18K763,Reside in temporary housing,7.0
18K763,Students with Disabilities,25.0
19K007,All Students,933.0
19K007,Attend school outside district of residence,89.0
19K007,English Language Learners,180.0
19K007,Poverty,809.0
19K007,Reside in temporary housing,26.0
19K007,Students with Disabilities,152.0
19K013,All Students,483.0
19K013,Attend school outside district of residence,19.0
19K013,English Language Learners,60.0
19K013,Poverty,464.0
19K013,Reside in temporary housing,121.0
19K013,Students with Disabilities,85.0
19K065,All Students,660.0
19K065,Attend school outside district of residence,16.0
19K065,Poverty,660.0
19K065,Reside in temporary housing,171.0
19K065,Students with Disabilities,75.0
19K089,All Students,440.0
19K089,Attend school outside district of residence,56.0
19K089,English Language Learners,190.0
19K089,Poverty,420.0
19K089,Reside in temporary housing,46.0
19K089,Students with Disabilities,101.0
19K108,All Students,874.0
19K108,Attend school outside district of residence,42.0
19K108,English Language Learners,115.0
19K158,Poverty,501.0
19K108,Poverty,874.0
19K108,Reside in temporary housing,153.0
19K108,Students with Disabilities,192.0
19K149,All Students,658.0
19K149,Attend school outside district of residence,56.0
19K149,English Language Learners,58.0
19K149,Poverty,605.0
19K149,Reside in temporary housing,162.0
19K149,Students with Disabilities,92.0
19K158,All Students,554.0
19K158,Attend school outside district of residence,26.0
19K158,English Language Learners,40.0
19K422,Reside in temporary housing,16.0
19K158,Reside in temporary housing,89.0
19K158,Students with Disabilities,106.0
19K213,Attend school outside district of residence,21.0
19K159,All Students,841.0
19K159,Attend school outside district of residence,28.0
19K159,English Language Learners,153.0
19K159,Poverty,841.0
19K159,Reside in temporary housing,109.0
19K159,Students with Disabilities,110.0
19K171,All Students,547.0
19K171,Attend school outside district of residence,41.0
19K171,English Language Learners,121.0
19K171,Poverty,547.0
19K171,Reside in temporary housing,42.0
19K171,Students with Disabilities,84.0
19K174,All Students,42.0
19K174,English Language Learners,
19K174,Poverty,42.0
19K174,Reside in temporary housing,16.0
19K174,Students with Disabilities,14.0
19K190,All Students,159.0
19K190,Attend school outside district of residence,7.0
19K190,English Language Learners,
19K190,Poverty,151.0
19K190,Reside in temporary housing,31.0
19K190,Students with Disabilities,19.0
19K202,All Students,458.0
19K202,Attend school outside district of residence,26.0
19K202,English Language Learners,47.0
19K202,Poverty,431.0
19K202,Reside in temporary housing,101.0
19K202,Students with Disabilities,110.0
19K213,All Students,328.0
19K213,Poverty,280.0
19K213,Reside in temporary housing,62.0
19K213,Students with Disabilities,61.0
19K214,All Students,859.0
19K214,Attend school outside district of residence,119.0
19K214,English Language Learners,132.0
19K214,Poverty,859.0
19K214,Reside in temporary housing,65.0
19K214,Students with Disabilities,137.0
19K218,All Students,419.0
19K218,Attend school outside district of residence,25.0
19K218,English Language Learners,92.0
19K218,Poverty,419.0
19K218,Reside in temporary housing,47.0
19K218,Students with Disabilities,112.0
19K224,All Students,470.0
19K224,Attend school outside district of residence,6.0
19K224,English Language Learners,28.0
19K224,Poverty,413.0
19K224,Reside in temporary housing,75.0
19K224,Students with Disabilities,108.0
19K273,All Students,322.0
19K273,Attend school outside district of residence,17.0
19K273,English Language Learners,7.0
19K273,Poverty,322.0
19K273,Reside in temporary housing,53.0
19K273,Students with Disabilities,77.0
19K290,All Students,573.0
19K290,Attend school outside district of residence,30.0
19K290,English Language Learners,103.0
19K290,Poverty,546.0
19K290,Reside in temporary housing,67.0
19K290,Students with Disabilities,98.0
19K292,All Students,623.0
19K292,Attend school outside district of residence,37.0
19K292,English Language Learners,60.0
19K292,Poverty,623.0
19K292,Reside in temporary housing,109.0
19K292,Students with Disabilities,102.0
19K306,All Students,535.0
19K306,Attend school outside district of residence,49.0
19K306,Poverty,535.0
19K306,Reside in temporary housing,85.0
19K306,Students with Disabilities,174.0
19K311,All Students,124.0
19K311,Attend school outside district of residence,17.0
19K311,English Language Learners,26.0
19K311,Poverty,124.0
19K311,Reside in temporary housing,21.0
19K311,Students with Disabilities,43.0
19K325,All Students,241.0
19K325,Attend school outside district of residence,31.0
19K325,English Language Learners,8.0
19K325,Poverty,225.0
19K325,Reside in temporary housing,25.0
19K325,Students with Disabilities,50.0
26Q213,Students with Disabilities,40.0
19K328,All Students,280.0
19K328,Attend school outside district of residence,26.0
19K328,English Language Learners,54.0
19K328,Poverty,276.0
19K328,Reside in temporary housing,107.0
19K328,Students with Disabilities,78.0
19K345,All Students,609.0
19K345,Attend school outside district of residence,44.0
19K345,English Language Learners,100.0
19K345,Poverty,609.0
19K345,Reside in temporary housing,86.0
19K345,Students with Disabilities,93.0
19K404,Attend school outside district of residence,30.0
19K346,All Students,602.0
19K346,Attend school outside district of residence,49.0
19K346,English Language Learners,9.0
19K346,Poverty,457.0
19K346,Reside in temporary housing,57.0
19K346,Students with Disabilities,124.0
19K364,All Students,313.0
19K364,Attend school outside district of residence,25.0
19K364,English Language Learners,6.0
19K364,Poverty,313.0
19K364,Reside in temporary housing,24.0
19K364,Students with Disabilities,75.0
19K404,All Students,210.0
19K404,Poverty,161.0
19K404,Reside in temporary housing,25.0
19K678,Reside in temporary housing,25.0
19K404,Students with Disabilities,41.0
19K409,All Students,210.0
19K409,Attend school outside district of residence,24.0
19K409,English Language Learners,6.0
19K409,Poverty,159.0
19K409,Reside in temporary housing,22.0
19K409,Students with Disabilities,31.0
19K422,All Students,233.0
19K422,Attend school outside district of residence,22.0
19K422,English Language Learners,
19K422,Poverty,205.0
19K422,Students with Disabilities,52.0
19K452,All Students,308.0
19K452,Attend school outside district of residence,36.0
19K452,Poverty,308.0
19K452,Reside in temporary housing,10.0
19K452,Students with Disabilities,44.0
19K557,All Students,252.0
19K557,Attend school outside district of residence,23.0
19K557,English Language Learners,21.0
19K557,Poverty,252.0
19K557,Reside in temporary housing,76.0
19K557,Students with Disabilities,64.0
19K654,All Students,302.0
19K654,Attend school outside district of residence,8.0
19K654,English Language Learners,42.0
19K654,Poverty,302.0
19K654,Reside in temporary housing,34.0
19K654,Students with Disabilities,85.0
19K661,All Students,342.0
19K661,Attend school outside district of residence,15.0
19K661,English Language Learners,39.0
19K661,Poverty,342.0
19K661,Reside in temporary housing,36.0
19K661,Students with Disabilities,64.0
19K677,All Students,536.0
19K662,All Students,431.0
19K662,Attend school outside district of residence,25.0
19K662,English Language Learners,87.0
19K662,Poverty,431.0
19K662,Reside in temporary housing,65.0
19K662,Students with Disabilities,77.0
20K048,Attend school outside district of residence,21.0
19K663,All Students,157.0
19K663,Attend school outside district of residence,20.0
19K663,English Language Learners,6.0
19K663,Poverty,157.0
19K663,Reside in temporary housing,40.0
19K663,Students with Disabilities,48.0
19K677,Attend school outside district of residence,59.0
19K677,English Language Learners,78.0
19K677,Poverty,406.0
19K677,Reside in temporary housing,72.0
19K677,Students with Disabilities,102.0
19K678,All Students,260.0
19K678,Attend school outside district of residence,26.0
19K678,English Language Learners,12.0
19K678,Poverty,260.0
19K678,Students with Disabilities,61.0
19K760,All Students,203.0
19K760,Attend school outside district of residence,17.0
19K760,English Language Learners,27.0
19K760,Poverty,203.0
19K760,Reside in temporary housing,19.0
19K760,Students with Disabilities,42.0
20K030,All Students,715.0
20K030,Attend school outside district of residence,21.0
20K030,English Language Learners,189.0
20K030,Poverty,554.0
20K030,Reside in temporary housing,19.0
20K030,Students with Disabilities,117.0
20K048,All Students,577.0
20K048,English Language Learners,165.0
20K048,Poverty,577.0
20K048,Reside in temporary housing,14.0
20K048,Students with Disabilities,102.0
20K062,All Students,1191.0
20K062,Attend school outside district of residence,953.0
20K062,English Language Learners,265.0
20K062,Poverty,1191.0
20K062,Reside in temporary housing,53.0
20K062,Students with Disabilities,212.0
20K069,All Students,845.0
20K069,Attend school outside district of residence,15.0
20K069,English Language Learners,451.0
20K069,Poverty,830.0
20K069,Reside in temporary housing,141.0
20K069,Students with Disabilities,85.0
20K102,All Students,1425.0
20K102,Attend school outside district of residence,42.0
20K102,English Language Learners,218.0
20K102,Poverty,932.0
20K102,Reside in temporary housing,20.0
20K102,Students with Disabilities,225.0
20K104,All Students,1236.0
20K104,Attend school outside district of residence,44.0
20K112,English Language Learners,149.0
20K104,English Language Learners,116.0
20K104,Poverty,744.0
20K104,Reside in temporary housing,17.0
20K104,Students with Disabilities,166.0
20K105,All Students,1675.0
20K105,Attend school outside district of residence,57.0
20K105,English Language Learners,835.0
20K105,Poverty,1675.0
20K105,Reside in temporary housing,10.0
20K105,Students with Disabilities,108.0
20K112,All Students,595.0
20K112,Attend school outside district of residence,14.0
20K112,Poverty,595.0
20K112,Reside in temporary housing,19.0
20K112,Students with Disabilities,110.0
20K127,All Students,529.0
20K127,Attend school outside district of residence,14.0
20K127,English Language Learners,159.0
20K127,Poverty,426.0
20K127,Reside in temporary housing,19.0
20K127,Students with Disabilities,94.0
20K160,All Students,1388.0
20K160,Attend school outside district of residence,138.0
20K160,English Language Learners,915.0
20K160,Poverty,1388.0
20K160,Reside in temporary housing,16.0
20K160,Students with Disabilities,120.0
20K163,All Students,629.0
20K163,Attend school outside district of residence,21.0
20K163,English Language Learners,108.0
20K163,Poverty,498.0
20K163,Reside in temporary housing,14.0
20K163,Students with Disabilities,126.0
20K164,All Students,537.0
20K164,Attend school outside district of residence,86.0
20K164,English Language Learners,90.0
20K164,Poverty,537.0
20K164,Reside in temporary housing,50.0
20K164,Students with Disabilities,107.0
20K170,All Students,1016.0
20K170,Attend school outside district of residence,8.0
20K170,English Language Learners,362.0
20K170,Poverty,918.0
20K170,Reside in temporary housing,65.0
20K170,Students with Disabilities,116.0
20K176,All Students,1408.0
20K176,Attend school outside district of residence,16.0
20K176,English Language Learners,383.0
20K176,Poverty,1212.0
20K176,Reside in temporary housing,131.0
20K176,Students with Disabilities,163.0
20K179,All Students,885.0
20K179,Attend school outside district of residence,42.0
20K179,English Language Learners,446.0
20K179,Poverty,885.0
20K179,Reside in temporary housing,104.0
20K179,Students with Disabilities,130.0
20K180,All Students,1071.0
20K180,Attend school outside district of residence,120.0
20K180,English Language Learners,261.0
20K180,Poverty,939.0
20K180,Reside in temporary housing,22.0
20K180,Students with Disabilities,162.0
20K185,All Students,663.0
20K185,Attend school outside district of residence,10.0
20K185,English Language Learners,48.0
20K185,Poverty,268.0
20K185,Reside in temporary housing,6.0
20K247,Reside in temporary housing,9.0
20K185,Students with Disabilities,98.0
20K186,All Students,975.0
20K186,Attend school outside district of residence,32.0
20K264,Reside in temporary housing,12.0
20K186,English Language Learners,303.0
20K186,Poverty,975.0
20K186,Reside in temporary housing,26.0
20K186,Students with Disabilities,144.0
20K187,All Students,999.0
20K187,Attend school outside district of residence,182.0
20K187,English Language Learners,24.0
20K187,Poverty,999.0
20K187,Reside in temporary housing,
20K506,Reside in temporary housing,16.0
20K187,Students with Disabilities,89.0
20K192,All Students,638.0
20K204,Students with Disabilities,161.0
20K192,Attend school outside district of residence,115.0
20K192,English Language Learners,206.0
20K192,Poverty,638.0
20K192,Reside in temporary housing,47.0
20K192,Students with Disabilities,147.0
20K200,All Students,1267.0
